"REF_DATE","GEO","DGUID","Indicator","Industry","Authority","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961","Canada","2016A000011124","Domestic production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808807","1.1.1.1","0","","","","0"
"1961","Canada","2016A000011124","Domestic production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808808","1.1.1.2","83","","","","0"
"1961","Canada","2016A000011124","Domestic production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808843","1.1.2.1","0","","","","0"
"1961","Canada","2016A000011124","Domestic production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808844","1.1.2.2","46","","","","0"
"1961","Canada","2016A000011124","Domestic market production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808879","1.2.1.1","0","","","","0"
"1961","Canada","2016A000011124","Domestic market production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808880","1.2.1.2","81","","","","0"
"1961","Canada","2016A000011124","Domestic market production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808915","1.2.2.1","0","","","","0"
"1961","Canada","2016A000011124","Domestic market production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808916","1.2.2.2","46","","","","0"
"1961","Canada","2016A000011124","Domestic own-use production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808951","1.3.1.1","0","","","","0"
"1961","Canada","2016A000011124","Domestic own-use production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808952","1.3.1.2","2","","","","0"
"1961","Canada","2016A000011124","Domestic own-use production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808987","1.3.2.1","0","","","","0"
"1961","Canada","2016A000011124","Domestic own-use production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808988","1.3.2.2","0","","","","0"
"1961","Canada","2016A000011124","Intermediate consumption","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809023","1.4.1.1","0","","","","0"
"1961","Canada","2016A000011124","Intermediate consumption","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809024","1.4.1.2","27","","","","0"
"1961","Canada","2016A000011124","Intermediate consumption","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809059","1.4.2.1","0","","","","0"
"1961","Canada","2016A000011124","Intermediate consumption","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809060","1.4.2.2","9","","","","0"
"1961","Canada","2016A000011124","Gross value added","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001809095","1.5.1.1","0","","","","0"
"1961","Canada","2016A000011124","Gross value added","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001809096","1.5.1.2","56","","","","0"
"1961","Canada","2016A000011124","Gross value added","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001809131","1.5.2.1","0","","","","0"
"1961","Canada","2016A000011124","Gross value added","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001809132","1.5.2.2","37","","","","0"
"1961","Atlantic","2016A00011","Domestic production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808809","2.1.1.1","0","","","","0"
"1961","Atlantic","2016A00011","Domestic production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808810","2.1.1.2","3","","","","0"
"1961","Atlantic","2016A00011","Domestic production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808845","2.1.2.1","0","","","","0"
"1961","Atlantic","2016A00011","Domestic production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808846","2.1.2.2","5","","","","0"
"1961","Atlantic","2016A00011","Domestic market production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808881","2.2.1.1","0","","","","0"
"1961","Atlantic","2016A00011","Domestic market production","Cannabis cultivation industry","Unlicensed source","Dollars","81","millions","6","v1001808882","2.2.1.2","3","","","","0"
"1961","Atlantic","2016A00011","Domestic market production","Cannabis retail stores","Licensed source","Dollars","81","millions","6","v1001808917","2.2.2.1","0","","","","0"
"1961","Atlantic","2016A00011","Domestic market production","Cannabis retail stores","Unlicensed source","Dollars","81","millions","6","v1001808918","2.2.2.2","5","","","","0"
"1961","Atlantic","2016A00011","Domestic own-use production","Cannabis cultivation industry","Licensed source","Dollars","81","millions","6","v1001808953","2.3.1.1","0","","","","0"
